Ferramenta,fix,feat,refactor,docs,test,style,chore,build,ci,perf
Claude_Code,1303,1062,171,78,86,28,180,25,70,8
Copilot,12257,7044,1306,1376,2019,681,2565,933,443,147
Cursor,1626,2231,769,334,195,145,750,100,120,38
