,num_developers,num_repos,languages,total_stars,total_forks,unique_languages,primary_language
Claude_Code,236,237,"['Python', 'TypeScript', 'TypeScript', 'TypeScript', 'Rust', 'Python', 'Smarty', 'Rust', 'Julia', 'TypeScript', 'Swift', 'Julia', 'Python', 'TypeScript', 'Rust', 'TypeScript', 'HTML', 'PHP', 'Emacs Lisp', 'C++', 'TypeScript', 'Julia', 'Python', 'TypeScript', 'Python', 'Shell', 'Python', 'TypeScript', 'TypeScript', 'Elixir', 'Python', 'Python', 'C#', 'Python', 'Shell', 'TypeScript', 'OCaml', 'Python', 'Go', 'JavaScript', 'Go', 'Rust', 'Go', 'Python', 'Go', 'Dart', 'TypeScript', 'Python', 'Python', 'Swift', 'Rust', 'Python', 'PHP', 'Rust', 'TypeScript', 'Go', 'TypeScript', 'Python', 'Go', 'Python', 'Objective-C', 'TypeScript', 'TypeScript', 'Python', 'TypeScript', 'Python', 'Julia', 'Swift', 'ColdFusion', 'JavaScript', 'JavaScript', 'Scala', 'Python', 'Shell', 'Python', 'Ruby', 'C++', 'Go', 'TypeScript', 'Python', 'Zig', 'Python', 'TypeScript', 'TypeScript', 'Dart', 'TypeScript', 'Rust', 'Julia', 'Python', 'JavaScript', 'Java', 'Python', 'JavaScript', 'Jupyter Notebook', 'C++', 'C++', 'PowerShell', 'TypeScript', 'Rust', 'Go', 'Go', 'Ruby', 'Rust', 'TypeScript', 'Python', 'C++', 'Python', 'Python', 'Rust', 'Go', 'C++', 'TypeScript', 'JavaScript', 'Python', 'Python', 'Python', 'TypeScript', 'Python', 'Python', 'Swift', 'PHP', 'Python', 'Python', 'Python', 'TypeScript', 'Rust', 'TypeScript', 'Java', 'Python', 'Go', 'Python', 'Python', 'Python', 'Rust', 'Python', 'Python', 'TypeScript', 'Go', 'TypeScript', 'PHP', 'TypeScript', 'Python', 'C++', 'TypeScript', 'TypeScript', 'TypeScript', 'C', 'PHP', 'Svelte', 'Go', 'Go', 'Python', 'C++', 'TypeScript', 'JavaScript', 'Rust', 'Roff', 'TypeScript', 'Java', 'JavaScript', 'HTML', 'TypeScript', 'Python', 'Go', 'TypeScript', 'Go', 'Go', 'Ruby', 'Python', 'Go', 'Python', 'Julia', 'TypeScript', 'TypeScript', 'Rust', 'Go', 'TypeScript', 'Makefile', 'Rust', 'Python', 'Python', 'Python', 'TypeScript', 'Go', 'Java', 'TypeScript', 'Rust', 'JavaScript', 'Scala', 'Ruby', 'Python', 'Java', 'Python', 'Shell', 'Python', 'TypeScript', 'TypeScript', 'TypeScript', 'Mustache', 'TypeScript', 'TypeScript', 'C', 'TypeScript', 'TypeScript', 'Python', 'C', 'JavaScript', 'TypeScript', 'TypeScript', 'TypeScript', 'HTML', 'JavaScript', 'Solidity', 'TypeScript', 'Swift', 'TypeScript', 'TypeScript', 'TypeScript', 'TypeScript', 'Rust', 'Python', 'Python', 'Go', 'TypeScript', 'Python', 'JavaScript', 'TypeScript', 'TypeScript', 'Python', 'TypeScript', 'TypeScript', 'Python', 'Rust', 'TypeScript']",1798604,281039,31,TypeScript
Copilot,1,1024,"['Java', 'CSS', 'C++', 'JavaScript', 'Go', 'C#', 'Go', 'TypeScript', 'HTML', 'Python', 'TypeScript', 'C', 'TypeScript', 'Python', 'C#', 'C#', 'TypeScript', 'Python', 'PHP', 'Go', 'TypeScript', 'Go', 'TypeScript', 'Ruby', 'Rust', 'Go', 'TypeScript', 'Go', 'C#', 'C#', 'C', 'Python', 'C#', 'C#', 'TypeScript', 'C#', 'Java', 'C#', 'Shell', 'TypeScript', 'C#', 'Lua', 'C++', 'C++', 'TypeScript', 'TypeScript', 'TypeScript', 'TypeScript', 'C#', 'TeX', 'C++', 'C++', 'TypeScript', 'Java', 'C#', 'Python', 'F#', 'Shell', 'Go', 'Scala', 'C#', 'TypeScript', 'C#', 'HTML', 'Bicep', 'Rust', 'Vue', 'C#', 'TypeScript', 'HTML', 'Rust', 'Kotlin', 'Python', 'Python', 'Kotlin', 'Python', 'Go', 'C#', 'Rust', 'Rust', 'Go', 'Rust', 'Java', 'Java', 'Java', 'Luau', 'Java', 'Python', 'C#', 'TypeScript', 'C#', 'HTML', 'C#', 'Python', 'Go', 'Astro', 'Bicep', 'TypeScript', 'HTML', 'Go', 'C#', 'C#', 'Ruby', 'Rust', 'Ruby', 'C++', 'TypeScript', 'Vue', 'Go', 'Gherkin', 'C++', 'C++', 'Perl', 'C#', 'Kotlin', 'Rust', 'Ruby', 'TypeScript', 'Go', 'TypeScript', 'TypeScript', 'Rust', 'Python', 'TypeScript', 'C', 'Python', 'Go', 'Rust', 'Java', 'Python', 'TypeScript', 'Rust', 'C#', 'Python', 'Emacs Lisp', 'Go', 'Handlebars', 'Kotlin', 'C++', 'Go', 'Python', 'Python', 'Python', 'C++', 'C#', 'Python', 'Rust', 'Go', 'C#', 'Python', 'Haskell', 'Python', 'Ruby', 'TypeScript', 'Python', 'Python', 'Rust', 'C#', 'Go', 'Rust', 'JavaScript', 'TypeScript', 'TypeScript', 'JavaScript', 'Dart', 'JavaScript', 'TypeScript', 'TypeScript', 'C#', 'C#', 'Python', 'Go', 'C#', 'TypeScript', 'JavaScript', 'PowerShell', 'Python', 'Makefile', 'Rust', 'Go', 'Dart', 'TypeScript', 'Rust', 'C#', 'Ruby', 'Python', 'Svelte', 'C#', 'Bicep', 'JavaScript', 'TypeScript', 'PowerShell', 'PowerShell', 'JavaScript', 'TypeScript', 'JavaScript', 'C++', 'Python', 'Python', 'TypeScript', 'TypeScript', 'C#', 'C++', 'Swift', 'TypeSpec', 'Go', 'C++', 'C#', 'TypeScript', 'TypeScript', 'Python', 'Python', 'Python', 'Go', 'HCL', 'PHP', 'C#', 'C', 'Rust', 'TypeScript', 'Python', 'JavaScript', 'Go', 'TypeScript', 'Ruby', 'PowerShell', 'TypeScript', 'C++', 'Go', 'TypeScript', 'C#', 'C++', 'JavaScript', 'Go', 'C', 'Go', 'PowerShell', 'C#', 'PowerShell', 'C#', 'C#', 'TypeScript', 'JavaScript', 'Julia', 'C#', 'Python', 'C++', 'TypeScript', 'TypeScript', 'Rust', 'Go', 'C#', 'TypeScript', 'C#', 'TypeScript', 'Ruby', 'Rust', 'Emacs Lisp', 'Rust', 'C++', 'TypeScript', 'Python', 'TypeScript', 'JavaScript', 'Java', 'C++', 'Kotlin', 'AL', 'JavaScript', 'TypeScript', 'Python', 'C#', 'JavaScript', 'JavaScript', 'PHP', 'Go', 'TypeScript', 'TypeScript', 'C#', 'Java', 'TypeScript', 'C#', 'Rust', 'TypeScript', 'Rust', 'TypeScript', 'TypeScript', 'C++', 'TypeScript', 'TypeScript', 'Go', 'Markdown', 'TypeScript', 'Jupyter Notebook', 'PHP', 'Go', 'C#', 'Elixir', 'JavaScript', 'Python', 'HTML', 'C#', 'Java', 'C#', 'Kotlin', 'C#', 'JavaScript', 'GAP', 'Java', 'TypeScript', 'JavaScript', 'Java', '1C Enterprise', 'TypeScript', 'PHP', 'Python', 'Go', 'C#', 'Python', 'Java', 'C++', 'TypeScript', 'Rust', 'Ruby', 'TypeScript', 'PHP', 'TypeScript', 'Python', 'Python', 'Python', 'C#', 'TypeScript', 'JavaScript', 'C++', 'HTML', 'Rust', 'Rust', 'JavaScript', 'Go', 'CodeQL', 'C#', 'TypeScript', 'PHP', 'Python', 'PHP', 'TypeScript', 'Go', 'Bicep', 'TypeScript', 'Shell', 'TypeScript', 'Python', 'JavaScript', 'C#', 'C#', 'JavaScript', 'Python', 'JavaScript', 'JavaScript', 'C#', 'C#', 'C#', 'Python', 'ActionScript', 'TypeScript', 'Starlark', 'Scala', 'C++', 'PowerShell', 'JavaScript', 'C#', 'Java', 'PHP', 'TypeScript', 'Python', 'TypeScript', 'Kotlin', 'C#', 'TypeScript', 'Python', 'Lua', 'PHP', 'C#', 'Python', 'Pony', 'PHP', 'C++', 'HTML', 'C#', 'JavaScript', 'TypeScript', 'TypeScript', 'TypeScript', 'PHP', 'PowerShell', 'Go', 'Python', 'C++', 'C#', 'TypeScript', 'TypeScript', 'Shell', 'C#', 'Python', 'C#', 'C#', 'Java', 'Rust', 'Python', 'Python', 'Python', 'C#', 'Java', 'Jupyter Notebook', 'C#', 'Python', 'Go', 'Rust', 'Python', 'Go', 'Rust', 'C#', 'Go', 'Kotlin', 'Go', 'Ruby', 'TypeSpec', 'TypeScript', 'Python', 'Bicep', 'Vue', 'Go', 'Rust', 'C#', 'Dart', 'C++', 'C#', 'C#', 'JavaScript', 'TypeScript', 'TypeScript', 'Go', 'Go', 'PowerShell', 'TypeScript', 'C#', 'Rust', 'Python', 'Python', 'Rust', 'Python', 'TypeScript', 'Rust', 'PHP', 'C', 'TypeScript', 'Python', 'Python', 'C#', 'Go', 'HTML', 'TypeScript', 'C#', 'C#', 'PHP', 'Go', 'Go', 'C', 'Python', 'HTML', 'Ruby', 'Rust', 'Java', 'C#', 'Bicep', 'C#', 'TypeScript', 'TypeScript', 'HTML', 'C#', 'Python', 'Swift', 'Go', 'C++', 'Java', 'TypeScript', 'TypeScript', 'PHP', 'Shell', 'Python', 'Python', 'TypeScript', 'Markdown', 'Go', 'Jupyter Notebook', 'C', 'TypeScript', 'Rust', 'Python', 'Python', 'Rust', 'Python', 'TypeScript', 'C', 'Rust', 'Go', 'Clojure', 'TypeScript', 'PowerShell', 'TypeScript', 'Java', 'TypeScript', 'TypeScript', 'C++', 'TypeScript', 'Python', 'Python', 'Python', 'Go', 'PowerShell', 'Go', 'C#', 'Go', 'Python', 'JavaScript', 'TypeScript', 'C#', 'TypeScript', 'Jupyter Notebook', 'Python', 'Go', 'Python', 'C#', 'TypeScript', 'C#', 'Dart', 'Go', 'TypeScript', 'Ruby', 'C#', 'C#', 'TypeScript', 'Shell', 'TypeScript', 'C#', 'C#', 'C#', 'C#', 'Go', 'Lua', 'C#', 'JavaScript', 'TypeScript', 'JavaScript', 'C#', 'TypeScript', 'Rust', 'C#', 'C#', 'PHP', 'TypeScript', 'TypeScript', 'Python', 'C++', 'TypeScript', 'C#', 'TypeScript', 'Python', 'Rust', 'C#', 'C', 'Python', 'TypeScript', 'Python', 'C#', 'Go', 'JavaScript', 'C#', 'TypeScript', 'PHP', 'Go', 'Go', 'Go', 'HTML', 'C#', 'TypeScript', 'Rust', 'C#', 'TypeScript', 'Go', 'C++', 'Rust', 'C#', 'TypeScript', 'Python', 'TypeScript', 'C#', 'C#', 'Go', 'Python', 'Dart', 'TypeScript', 'TypeScript', 'HTML', 'C#', 'Python', 'C#', 'Python', 'Go', 'Go', 'TypeScript', 'C', 'PHP', 'TypeScript', 'PowerShell', 'Go', 'Python', 'TypeScript', 'C#', 'C#', 'TypeScript', 'Rust', 'Rust', 'Jupyter Notebook', 'C#', 'Rust', 'JavaScript', 'C#', 'JavaScript', 'C#', 'Jupyter Notebook', 'Rust', 'TypeScript', 'C', 'C#', 'C#', 'TypeScript', 'Python', 'C++', 'JavaScript', 'TypeScript', 'JavaScript', 'C++', 'TypeScript', 'C#', 'TypeScript', 'F#', 'TypeScript', 'Ruby', 'PowerShell', 'TypeScript', 'TypeScript', 'C++', 'TypeScript', 'Python', 'Go', 'Python', 'TypeScript', 'Shell', 'JavaScript', 'Python', 'C#', 'Go', 'Swift', 'Rust', 'Java', 'TypeScript', 'JavaScript', 'C#', 'C++', 'Shell', 'JavaScript', 'Python', 'C#', 'C#', 'Python', 'TypeScript', 'TypeScript', 'C', 'HCL', 'Java', 'C#', 'Go', 'Python', 'Makefile', 'C#', 'TypeScript', 'TypeScript', 'TypeScript', 'Python', 'PHP', 'TypeScript', 'C++', 'Java', 'TypeScript', 'Java', 'Scala', 'JavaScript', 'Python', 'C++', 'TypeScript', 'Dockerfile', 'Python', 'Rust', 'C#', 'Java', 'C#', 'R', 'Go', 'Rust', 'C#', 'TypeScript', 'Python', 'C', 'TypeScript', 'Ruby', 'Java', 'Go', 'Rust', 'Handlebars', 'TypeScript', 'JavaScript', 'Python', 'TypeScript', 'HTML', 'C', 'Java', 'TypeScript', 'HCL', 'TypeScript', 'Go', 'TypeScript', 'JavaScript', 'C#', 'C', 'PowerShell', 'C#', 'TypeScript', 'Ruby', 'Python', 'TypeScript', 'JavaScript', 'Python', 'C#', 'Python', 'Kotlin', 'TypeScript', 'Python', 'Rust', 'Go', 'Rust', 'TypeScript', 'JavaScript', 'Python', 'TypeScript', 'C#', 'C#', 'C#', 'TypeScript', 'Vue', 'C', 'TypeScript', 'JavaScript', 'TypeScript', 'Go', 'TypeScript', 'Kotlin', 'HTML', 'Python', 'Ruby', 'C#', 'Python', 'C#', 'C#', 'JavaScript', 'Rust', 'Python', 'Rust', 'CMake', 'TypeScript', 'PowerShell', 'C#', 'Python', 'Vue', 'Erlang', 'Kotlin', 'Go', 'C', 'C#', 'Solidity', 'Astro', 'Kotlin', 'Go', 'C++', 'TypeScript', 'Jupyter Notebook', 'JavaScript', 'Rust', 'C++', 'TypeScript', 'Lua', 'C++', 'F#', 'Go', 'C++', 'C#', 'TypeScript', 'TypeScript', 'Shell', 'C#', 'C#', 'Java', 'Rust', 'Python', 'Python', 'Bicep', 'Python', 'PowerShell', 'Shell', 'Go', 'JavaScript', 'C#', 'HTML', 'C#', 'Java', 'Zig', 'JavaScript', 'Python', 'Python', 'C', 'C', 'HTML', 'C#', 'Go', 'C++', 'Go', 'C#', 'Dockerfile', 'C', 'Rust', 'Ruby', 'TypeScript', 'Java', 'Python', 'JavaScript', 'C#', 'Kotlin', 'TypeScript', 'TypeScript', 'C#', 'C#', 'Rust', 'JavaScript', 'Python', 'Rust', 'Java', 'HCL', 'C#', 'C#', 'TypeScript', 'Go', 'JavaScript', 'TypeScript', 'C++', 'TypeScript', 'Java', 'JavaScript', 'Go', 'C++', 'TypeScript', 'C#', 'Python', 'C#', 'Python', 'C', 'C++', 'Python', 'TypeScript', 'Kotlin', 'Python', 'Python', 'Python', 'Jupyter Notebook', 'Rust', 'TypeScript', 'Ruby', 'OCaml', 'C#', 'Kotlin', 'TypeScript', 'Go', 'Python', 'JavaScript', 'TypeScript', 'Python', 'Python', 'TypeScript', 'C++', 'JavaScript', 'C#', 'Python', 'TypeScript', 'TypeScript', 'TypeScript', 'TypeScript', 'Shell', 'TypeScript', 'Python', 'TypeScript', 'C#', 'Python', 'TypeScript', 'C#', 'Python', 'Go', 'C#', 'Go', 'Dart', 'C++', 'TypeScript', 'Python', 'C#', 'PHP', 'Go', 'TypeScript', 'Kotlin', 'JavaScript', 'C#', 'Rust', 'Python', 'C#', 'Python', 'PHP', 'TypeScript', 'C#', 'C++', 'C#', 'JavaScript', 'TypeScript', 'JavaScript', 'HTML', 'TypeScript', 'TypeScript', 'TypeScript', 'Lua', 'C#', 'C#', 'JavaScript', 'Go', 'Go', 'C#', 'Shell', 'JavaScript', 'TypeScript', 'Go', 'TypeScript', 'Rust', 'C++', 'TypeScript', 'Python', 'RPM Spec', 'Python', 'C#', 'Python', 'JavaScript', 'Java', 'Kotlin', 'TypeScript', 'C++', 'TypeScript', 'C#', 'Go', 'PowerShell', 'TypeScript', 'C#', 'PHP', 'C#', 'JavaScript', 'TypeScript', 'SCSS', 'Go', 'Rust', 'PHP', 'PowerShell', 'TypeScript', 'C#', 'TypeScript', 'Python', 'Python', 'C#', 'Python', 'Dart', 'TypeScript', 'Python', 'Java', 'JavaScript', 'Python', 'Python', 'Erlang', 'TypeScript', 'C#', 'TypeScript', 'Java', 'C++', 'Go', 'Python']",4631366,933910,56,TypeScript
Cursor,363,327,"['PHP', 'Go', 'TypeScript', 'Python', 'Rust', 'HTML', 'JavaScript', 'Dart', 'C', 'TypeScript', 'TypeScript', 'Go', 'TypeScript', 'Vue', 'TypeScript', 'TypeScript', 'Python', 'TypeScript', 'C#', 'TypeScript', 'Rust', 'Python', 'Java', 'Nushell', 'TypeScript', 'TypeScript', 'Java', 'TypeScript', 'TypeScript', 'TypeScript', 'TypeScript', 'Rust', 'Go', 'Jupyter Notebook', 'TypeScript', 'TypeScript', 'Python', 'C#', 'Rust', 'Python', 'Python', 'Python', 'Python', 'TypeScript', 'TypeScript', 'Python', 'Python', 'C#', 'TypeScript', 'TypeScript', 'TypeScript', 'TypeScript', 'TypeScript', 'TypeScript', 'TypeScript', 'TypeScript', 'TypeScript', 'TypeScript', 'TypeScript', 'TypeScript', 'Shell', 'TypeScript', 'HTML', 'MDX', 'Java', 'TypeScript', 'JavaScript', 'Python', 'Jupyter Notebook', 'Python', 'Python', 'Jupyter Notebook', 'TypeScript', 'JavaScript', 'TypeScript', 'Go', 'Go', 'Solidity', 'C#', 'PHP', 'Go', 'C++', 'Python', 'TypeScript', 'TypeScript', 'Go', 'TypeScript', 'TypeScript', 'TypeScript', 'TypeScript', 'Go', 'TypeScript', 'Swift', 'TypeScript', 'TypeScript', 'TypeScript', 'TypeScript', 'TypeScript', 'PHP', 'TypeScript', 'JavaScript', 'Zig', 'Python', 'TypeScript', 'TypeScript', 'TypeScript', 'Python', 'TypeScript', 'Python', 'Python', 'Dart', 'Python', 'TypeScript', 'JavaScript', 'C++', 'TypeScript', 'Python', 'Python', 'TypeScript', 'TypeScript', 'TypeScript', 'TypeScript', 'TypeScript', 'Clojure', 'TypeScript', 'Python', 'JavaScript', 'Python', 'C#', 'TypeScript', 'Circom', 'JavaScript', 'Python', 'TypeScript', 'Python', 'Python', 'TypeScript', 'TypeScript', 'Rust', 'TypeScript', 'TypeScript', 'TypeScript', 'Go', 'TypeScript', 'Jupyter Notebook', 'C++', 'PLpgSQL', 'Java', 'TypeScript', 'Python', 'TypeScript', 'C++', 'TypeScript', 'C++', 'Python', 'TypeScript', 'TypeScript', 'C++', 'Java', 'TypeScript', 'JavaScript', 'Python', 'Rust', 'Rust', 'TypeScript', 'Python', 'Svelte', 'Python', 'Python', 'TypeScript', 'TypeScript', 'JavaScript', 'Java', 'PHP', 'TypeScript', 'Solidity', 'TypeScript', 'TypeScript', 'TypeScript', 'Python', 'C', 'Python', 'Python', 'Rust', 'Go', 'Nextflow', 'Go', 'Python', 'Rust', 'TypeScript', 'Python', 'TypeScript', 'Python', 'TypeScript', 'TypeScript', 'Vue', 'Python', 'Go', 'TypeScript', 'TypeScript', 'Python', 'Python', 'TypeScript', 'TypeScript', 'TypeScript', 'TypeScript', 'Python', 'TypeScript', 'PHP', 'TypeScript', 'Rust', 'TypeScript', 'TypeScript', 'TypeScript', 'C#', 'Swift', 'JavaScript', 'Python', 'Rust', 'TypeScript', 'Python', 'Python', 'TypeScript', 'JavaScript', 'C', 'TypeScript', 'Svelte', 'TypeScript', 'TypeScript', 'Python', 'TypeScript', 'TypeScript', 'Python', 'Ruby', 'TypeScript', 'Go', 'TypeScript', 'TypeScript', 'Rust', 'Python', 'Go', 'TypeScript', 'Kotlin', 'JetBrains MPS', 'C++', 'Jsonnet', 'TypeScript', 'TypeScript', 'TypeScript', 'Kotlin', 'TypeScript', 'JavaScript', 'Go', 'TypeScript', 'Rust', 'Python', 'C++', 'TypeScript', 'Kotlin', 'TypeScript', 'TypeScript', 'Python', 'JavaScript', 'Python', 'Dart', 'Vue', 'Python', 'R', 'Java', 'TypeScript', 'Dart', 'TypeScript', 'TypeScript', 'TypeScript', 'TypeScript', 'Python', 'TypeScript', 'Python', 'TypeScript', 'Go', 'TypeScript', 'TypeScript', 'TypeScript', 'Go', 'JavaScript', 'C#', 'Go', 'Go', 'Python', 'Python', 'TypeScript', 'TypeScript', 'TypeScript', 'Go', 'C', 'Python', 'TypeScript', 'TypeScript', 'MDX', 'Kotlin', 'Rust', 'C++', 'Rust', 'Kotlin', 'Kotlin', 'PHP', 'TypeScript', 'Jupyter Notebook', 'MoonBit', 'Java', 'Go', 'Java', 'TypeScript', 'Rust', 'MDX', 'TypeScript', 'TypeScript', 'TypeScript', 'MDX', 'Vue', 'TypeScript', 'TypeScript', 'C++', 'Ruby', 'Go']",1875047,248016,31,TypeScript
