,tempo_ate_merge_hours_mean,tempo_ate_merge_hours_median,tempo_ate_merge_hours_std,tempo_ate_merge_hours_total,numero_revisoes_mean,numero_revisoes_median,numero_revisoes_std,numero_revisoes_total,comentarios_ferramenta_mean,comentarios_ferramenta_median,comentarios_ferramenta_std,comentarios_ferramenta_total,tempo_primeira_revisao_hours_mean,tempo_primeira_revisao_hours_median,tempo_primeira_revisao_hours_std,tempo_primeira_revisao_hours_total,review_time_hours_mean,review_time_hours_median,review_time_hours_std,review_time_hours_total
Claude_Code,47.47025317753178,1.4736111111111112,182.26184675706466,271.0,1.411764705882353,0.0,2.8830420233619733,459.0,1.8496732026143792,1.0,3.2144240043429,459.0,42.21424520069807,0.18916666666666668,146.5637638225807,191.0,97.66914485165795,7.601388888888889,260.3139046636943,191.0
Copilot,80.36256593977154,17.60263888888889,168.64509243548702,2140.0,3.2353651176825586,1.0,5.72438488748219,4971.0,2.9328102997384833,1.0,4.484748257846007,4971.0,29.59328591543463,1.12,104.29572410601793,2683.0,84.90647357849836,15.894722222222223,185.1471620820713,2683.0
Cursor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
