pr_id,total_commits,ai_commits,human_commits,ai_commits_percentage,total_comments,ai_comments,human_comments,ai_comments_percentage,total_reviews,ai_reviews,human_reviews,ai_reviews_percentage,time_to_merge_hours,has_related_issue,has_ai_involvement,is_merged
3204772289,0,0,0,0.0,0,0,0,0.0,1,1,0,100.0,,False,True,False
3204784776,1,0,1,0.0,0,0,0,0.0,0,0,0,0.0,,False,False,False
3204995137,1,0,1,0.0,0,0,0,0.0,0,0,0,0.0,,False,False,False
3205273752,1,0,1,0.0,0,0,0,0.0,0,0,0,0.0,,False,False,False
3205734508,1,0,1,0.0,0,0,0,0.0,0,0,0,0.0,,False,False,False
3205839196,9,4,5,44.44444444444444,2,1,1,50.0,1,1,0,100.0,,False,True,False
3205893657,1,0,1,0.0,0,0,0,0.0,0,0,0,0.0,,False,False,False
3246950577,1,0,1,0.0,1,1,0,100.0,0,0,0,0.0,,True,True,False
3247725112,8,2,6,25.0,7,7,0,100.0,5,3,2,60.0,,False,True,False
3248139288,11,0,11,0.0,1,0,1,0.0,0,0,0,0.0,,False,False,False
3248210397,13,0,13,0.0,3,3,0,100.0,9,8,1,88.88888888888889,,False,True,False
3248259820,1,1,0,100.0,1,0,1,0.0,0,0,0,0.0,,True,True,False
3248781517,2,0,2,0.0,4,0,4,0.0,0,0,0,0.0,,False,False,False
3249619721,2,0,2,0.0,1,1,0,100.0,1,1,0,100.0,,True,True,False
3250024089,30,0,30,0.0,3,3,0,100.0,8,8,0,100.0,,False,True,False
3175209026,4,0,4,0.0,1,1,0,100.0,3,2,1,66.66666666666666,,False,True,False
3176357483,1,0,1,0.0,0,0,0,0.0,0,0,0,0.0,,False,False,False
3176421116,1,0,1,0.0,0,0,0,0.0,0,0,0,0.0,,False,False,False
3176427591,1,0,1,0.0,0,0,0,0.0,0,0,0,0.0,,False,False,False
3177654490,6,0,6,0.0,6,6,0,100.0,5,1,4,20.0,,False,True,False
3178007458,2,0,2,0.0,1,0,1,0.0,3,0,3,0.0,,True,False,False
3179729495,28,0,28,0.0,1,1,0,100.0,0,0,0,0.0,,True,True,False
3243533799,17,0,17,0.0,0,0,0,0.0,1,1,0,100.0,,False,True,False
3244853040,5,0,5,0.0,1,1,0,100.0,1,1,0,100.0,,False,True,False
3244896143,2,0,2,0.0,0,0,0,0.0,1,1,0,100.0,,False,True,False
3245011006,3,3,0,100.0,11,6,5,54.54545454545454,5,5,0,100.0,,True,True,False
3245161961,24,0,24,0.0,1,0,1,0.0,0,0,0,0.0,,False,False,False
3245313058,1,0,1,0.0,2,0,2,0.0,0,0,0,0.0,,False,False,False
3245346788,3,0,3,0.0,0,0,0,0.0,1,1,0,100.0,,False,True,False
3266170682,4,0,4,0.0,3,2,1,66.66666666666666,3,3,0,100.0,,True,True,False
3266316354,4,0,4,0.0,7,3,4,42.857142857142854,2,2,0,100.0,,True,True,False
3266626830,1,0,1,0.0,2,2,0,100.0,0,0,0,0.0,,False,True,False
3266763733,6,0,6,0.0,4,4,0,100.0,0,0,0,0.0,,True,True,False
3267110060,3,0,3,0.0,5,4,1,80.0,1,1,0,100.0,,False,True,False
