pr_id,total_commits,ai_commits,human_commits,ai_commits_percentage,total_comments,ai_comments,human_comments,ai_comments_percentage,total_reviews,ai_reviews,human_reviews,ai_reviews_percentage,time_to_merge_hours,has_related_issue,has_ai_involvement,is_merged
3109541003,1,1,0,100.0,0,0,0,0.0,0,0,0,0.0,,True,True,False
3109581531,5,5,0,100.0,0,0,0,0.0,2,1,1,50.0,,False,True,False
3150841632,2,2,0,100.0,0,0,0,0.0,1,0,1,0.0,,True,True,False
3150912798,5,5,0,100.0,6,3,3,50.0,0,0,0,0.0,,True,True,False
3150960964,7,5,2,71.42857142857143,0,0,0,0.0,5,2,3,40.0,,True,True,False
3150971698,29,4,25,13.793103448275861,30,15,15,50.0,30,4,26,13.333333333333334,,False,True,False
3151002300,5,3,2,60.0,2,1,1,50.0,3,0,3,0.0,,True,True,False
3151126402,2,2,0,100.0,1,1,0,100.0,0,0,0,0.0,,True,True,False
3151210646,5,4,1,80.0,14,8,6,57.14285714285714,0,0,0,0.0,,True,True,False
3151211971,11,5,6,45.45454545454545,2,2,0,100.0,9,2,7,22.22222222222222,,True,True,False
3151219647,13,7,6,53.84615384615385,6,5,1,83.33333333333334,13,6,7,46.15384615384615,,True,True,False
3151237217,8,7,1,87.5,4,2,2,50.0,14,4,10,28.57142857142857,,True,True,False
3151242547,2,2,0,100.0,1,0,1,0.0,0,0,0,0.0,,True,True,False
3151249906,7,5,2,71.42857142857143,5,3,2,60.0,1,0,1,0.0,,True,True,False
3151370964,3,3,0,100.0,1,1,0,100.0,0,0,0,0.0,,True,True,False
3151403816,2,2,0,100.0,0,0,0,0.0,3,1,2,33.33333333333333,,True,True,False
3151403894,2,2,0,100.0,0,0,0,0.0,0,0,0,0.0,,True,True,False
3151417956,3,3,0,100.0,0,0,0,0.0,6,1,5,16.666666666666664,,True,True,False
3151439757,3,3,0,100.0,2,1,1,50.0,0,0,0,0.0,,True,True,False
3151469750,3,3,0,100.0,4,2,2,50.0,0,0,0,0.0,,True,True,False
3215964049,2,2,0,100.0,0,0,0,0.0,0,0,0,0.0,,True,True,False
3215992008,9,5,4,55.55555555555556,3,1,2,33.33333333333333,2,0,2,0.0,,True,True,False
3216013583,2,2,0,100.0,3,0,3,0.0,1,0,1,0.0,,True,True,False
3216159293,2,2,0,100.0,0,0,0,0.0,0,0,0,0.0,,False,True,False
3216175364,4,4,0,100.0,1,0,1,0.0,0,0,0,0.0,,True,True,False
3216189960,2,2,0,100.0,0,0,0,0.0,0,0,0,0.0,,False,True,False
3216197213,2,2,0,100.0,1,0,1,0.0,4,0,4,0.0,,True,True,False
3216208267,4,4,0,100.0,3,1,2,33.33333333333333,2,1,1,50.0,,True,True,False
3234025898,4,4,0,100.0,6,3,3,50.0,0,0,0,0.0,,True,True,False
3234026322,7,2,5,28.57142857142857,0,0,0,0.0,0,0,0,0.0,,False,True,False
3234061012,7,7,0,100.0,11,6,5,54.54545454545454,0,0,0,0.0,,True,True,False
3234065894,8,3,5,37.5,7,3,4,42.857142857142854,7,2,5,28.57142857142857,,True,True,False
