,total_prs,prs_open,prs_closed,prs_merged,merge_rate,tempo_entre_commits_mean_hours,tempo_entre_commits_median_hours,tempo_ate_merge_mean_hours,tempo_ate_merge_median_hours
Claude_Code,459.0,79.0,380.0,271.0,0.5904139433551199,2.805055756117128,0.15138888888888888,47.47025317753178,1.4736111111111112
Copilot,4971.0,1079.0,3892.0,2140.0,0.4304968819151076,1.5356783176322926,0.035,80.36256593977154,17.60263888888889
Cursor,1541.0,194.0,1347.0,1005.0,0.6521739130434783,2.815713713308122,0.06888888888888889,20.622880597014927,0.6433333333333333
