Ferramenta,Com_Bot_Count,Com_Bot_Mean_Hours,Com_Bot_Median_Hours,Com_Bot_Std_Hours,Sem_Bot_Count,Sem_Bot_Mean_Hours,Sem_Bot_Median_Hours,Sem_Bot_Std_Hours
Claude_Code,44,125.57545454545453,20.352916666666665,317.2409707781295,35,125.47696825396825,44.28527777777778,208.74620899935445
Copilot,1729,64.00234046655099,6.751388888888889,160.2927181075037,1,3.131111111111111,3.131111111111111,0.0
Cursor,322,35.84930986887509,6.242361111111111,76.80257102560707,7,39.94166666666667,9.194166666666666,64.36331468540732
