Ferramenta,Total_PRs,Taxa_Merge,Tempo_Medio_Merge_h,Num_Revisoes_Media,Comentarios_Media,Conventional_Commits,Code_Churn_Media,Num_Desenvolvedores,Num_Repositorios,Linguagem_Principal
Claude_Code,459,0.5904139433551199,47.47025317753178,1.411764705882353,1.8496732026143792,459,6.037037037037037,236,237,TypeScript
Copilot,4971,0.4304968819151076,80.36256593977154,3.2353651176825586,2.9328102997384833,4970,4.790585395292697,1,1024,TypeScript
Cursor,0,0.0,0.0,0.0,0.0,1541,4.004542504866969,363,327,TypeScript
