Ferramenta,AI_Comments,Human_Comments,Total_Comments,AI_Percentage,AI_Reviewers,Human_Reviewers
Claude_Code,519,711,1230,42.19512195121951,50,257
Copilot,14163,13695,27858,50.839974154641396,81,1595
Cursor,1798,1018,2816,63.84943181818182,61,354
